image,label
001_1_Event_1.png,B
001_1_Event_2.png,e
001_1_Event_3.png,z
001_1_Event_4.png,i
001_1_Event_5.png,r
001_1_Event_6.png,k
001_1_Event_7.png,s
001_1_Event_8.png,p
001_1_Event_9.png,o
001_1_Event_10.png,k
001_1_Event_11.png, 
001_1_Event_12.png, 
001_1_Event_13.png, 
001_1_Event_14.png, 
001_1_Event_15.png, 
001_1_Result_16.png,0
001_1_Result_17.png,1
001_1_Round_18.png,6
001_1_Round_19.png,1
001_1_Board_20.png,4
001_1_Board_21.png,0
001_1_Date_22.png,2
001_1_Date_23.png,2
001_1_Date_24.png,0
001_1_Date_25.png,6
001_1_Date_26.png,1
001_1_Date_27.png,9
001_1_Date_28.png,9
001_1_Date_29.png,1
001_1_White_30.png,A
001_1_White_31.png,n
001_1_White_32.png,t
001_1_White_33.png,o
001_1_White_34.png,n
001_1_White_35.png, 
001_1_White_36.png, 
001_1_White_37.png, 
001_1_White_38.png, 
001_1_White_39.png, 
001_1_White_40.png,F
001_1_White_41.png,i
001_1_White_42.png,l
001_1_White_43.png,i
001_1_White_44.png,p
001_1_White_45.png,p
001_1_White_46.png,o
001_1_White_47.png,v
001_1_White_48.png, 
001_1_White_49.png, 
001_1_Black_50.png,L
001_1_Black_51.png,e
001_1_Black_52.png,i
001_1_Black_53.png,n
001_1_Black_54.png,i
001_1_Black_55.png,e
001_1_Black_56.png,r
001_1_Black_57.png, 
001_1_Black_58.png, 
001_1_Black_59.png, 
001_1_Black_60.png,P
001_1_Black_61.png,e
001_1_Black_62.png,r
001_1_Black_63.png,e
001_1_Black_64.png,z
001_1_Black_65.png, 
001_1_Black_66.png, 
001_1_Black_67.png, 
001_1_Black_68.png, 
001_1_Black_69.png, 
001_1_Opening_70.png,A
001_1_Opening_71.png,l
001_1_Opening_72.png,a
001_1_Opening_73.png,p
001_1_Opening_74.png,i
001_1_Opening_75.png,n
001_1_Opening_76.png,-
001_1_Opening_77.png,E
001_1_Opening_78.png,r
001_1_Opening_79.png,ö
001_1_Opening_80.png,f
001_1_Opening_81.png,f
001_1_Opening_82.png,n
001_1_Opening_83.png,u
001_1_Opening_84.png,n
001_1_Opening_85.png,g
001_1_Opening_86.png, 
001_1_Opening_87.png, 
001_1_Opening_88.png, 
001_1_Opening_89.png, 
001_1_Moves_90.png,d
001_1_Moves_91.png,4
001_1_Moves_92.png, 
001_1_Moves_93.png, 
001_1_Moves_94.png, 
001_1_Moves_95.png,e
001_1_Moves_96.png,6
001_1_Moves_97.png, 
001_1_Moves_98.png, 
001_1_Moves_99.png, 
001_1_Moves_100.png,g
001_1_Moves_101.png,3
001_1_Moves_102.png, 
001_1_Moves_103.png, 
001_1_Moves_104.png, 
001_1_Moves_105.png,S
001_1_Moves_106.png,f
001_1_Moves_107.png,6
001_1_Moves_108.png, 
001_1_Moves_109.png, 
001_1_Moves_110.png,L
001_1_Moves_111.png,g
001_1_Moves_112.png,2
001_1_Moves_113.png, 
001_1_Moves_114.png, 
001_1_Moves_115.png,d
001_1_Moves_116.png,5
001_1_Moves_117.png, 
001_1_Moves_118.png, 
001_1_Moves_119.png, 
001_1_Moves_120.png,S
001_1_Moves_121.png,f
001_1_Moves_122.png,3
001_1_Moves_123.png, 
001_1_Moves_124.png, 
001_1_Moves_125.png,c
001_1_Moves_126.png,6
001_1_Moves_127.png, 
001_1_Moves_128.png, 
001_1_Moves_129.png, 
001_1_Moves_130.png,O
001_1_Moves_131.png,-
001_1_Moves_132.png,O
001_1_Moves_133.png, 
001_1_Moves_134.png, 
001_1_Moves_135.png,S
001_1_Moves_136.png,b
001_1_Moves_137.png,d
001_1_Moves_138.png,7
001_1_Moves_139.png, 
001_1_Moves_140.png,S
001_1_Moves_141.png,b
001_1_Moves_142.png,d
001_1_Moves_143.png,2
001_1_Moves_144.png, 
001_1_Moves_145.png,L
001_1_Moves_146.png,e
001_1_Moves_147.png,7
001_1_Moves_148.png, 
001_1_Moves_149.png, 
001_1_Moves_150.png,c
001_1_Moves_151.png,4
001_1_Moves_152.png, 
001_1_Moves_153.png, 
001_1_Moves_154.png, 
001_1_Moves_155.png,O
001_1_Moves_156.png,-
001_1_Moves_157.png,O
001_1_Moves_158.png, 
001_1_Moves_159.png, 
001_1_Moves_160.png,D
001_1_Moves_161.png,c
001_1_Moves_162.png,2
001_1_Moves_163.png, 
001_1_Moves_164.png, 
001_1_Moves_165.png,T
001_1_Moves_166.png,e
001_1_Moves_167.png,8
001_1_Moves_168.png, 
001_1_Moves_169.png, 
001_1_Moves_170.png,b
001_1_Moves_171.png,3
001_1_Moves_172.png, 
001_1_Moves_173.png, 
001_1_Moves_174.png, 
001_1_Moves_175.png,L
001_1_Moves_176.png,d
001_1_Moves_177.png,6
001_1_Moves_178.png, 
001_1_Moves_179.png, 
001_1_Moves_180.png,L
001_1_Moves_181.png,b
001_1_Moves_182.png,2
001_1_Moves_183.png, 
001_1_Moves_184.png, 
001_1_Moves_185.png,e
001_1_Moves_186.png,5
001_1_Moves_187.png, 
001_1_Moves_188.png, 
001_1_Moves_189.png, 
001_1_Moves_190.png,c
001_1_Moves_191.png,x
001_1_Moves_192.png,d
001_1_Moves_193.png,5
001_1_Moves_194.png, 
001_1_Moves_195.png,S
001_1_Moves_196.png,x
001_1_Moves_197.png,d
001_1_Moves_198.png,5
001_1_Moves_199.png, 
001_1_Moves_200.png,S
001_1_Moves_201.png,c
001_1_Moves_202.png,4
001_1_Moves_203.png, 
001_1_Moves_204.png, 
001_1_Moves_205.png,D
001_1_Moves_206.png,c
001_1_Moves_207.png,7
001_1_Moves_208.png, 
001_1_Moves_209.png, 
001_1_Moves_210.png,d
001_1_Moves_211.png,x
001_1_Moves_212.png,e
001_1_Moves_213.png,5
001_1_Moves_214.png, 
001_1_Moves_215.png,L
001_1_Moves_216.png,e
001_1_Moves_217.png,7
001_1_Moves_218.png, 
001_1_Moves_219.png, 
001_1_Moves_220.png,T
001_1_Moves_221.png,a
001_1_Moves_222.png,d
001_1_Moves_223.png,1
001_1_Moves_224.png, 
001_1_Moves_225.png,S
001_1_Moves_226.png,7
001_1_Moves_227.png,b
001_1_Moves_228.png,6
001_1_Moves_229.png, 
001_1_Moves_230.png,S
001_1_Moves_231.png,d
001_1_Moves_232.png,6
001_1_Moves_233.png, 
001_1_Moves_234.png, 
001_1_Moves_235.png,T
