kernelsize_gaussianBlur,sigmaX,threshold_method,block_size,c_value,horizontal_kernel_divisor,vertical_kernel_divisor,erosion_iterations,dilation_iterations,result_length,error_message
"(3, 3)",0,OTSU,9,1,10,10,1,1,2673,
"(3, 3)",0,OTSU,9,1,10,20,1,1,2569,
"(3, 3)",0,OTSU,9,1,10,30,1,1,2113,
"(3, 3)",0,OTSU,9,1,10,40,1,1,577,
"(3, 3)",0,OTSU,9,1,10,50,1,1,486,
"(3, 3)",0,OTSU,9,1,10,60,1,1,316,
"(3, 3)",0,OTSU,9,1,10,70,1,1,382,
"(3, 3)",0,OTSU,9,1,10,80,1,1,391,
"(3, 3)",0,OTSU,9,1,10,90,1,1,457,
"(3, 3)",0,OTSU,9,1,10,100,1,1,439,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,10,1,1,1801,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,20,1,1,1841,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,30,1,1,1743,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,40,1,1,633,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,50,1,1,413,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,60,1,1,347,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,70,1,1,347,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,80,1,1,189,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,90,1,1,0,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,10,100,1,1,60,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,10,1,1,524,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,20,1,1,616,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,10,30,1,1,477,
